path	head	branch	origin	worktree
.	ca7410866640f3a2f5289e27bf705dc6fc13a957	integration/arch	git@github.com:IlyaGulya/darling.git	dirty
src/external/AvailabilityVersions	e28c029a8fa46fa933cbf6d6d9a1c00978c5fad1	DETACHED	git@github.com:IlyaGulya/darling-AvailabilityVersions	clean
src/external/BerkeleyDB	1411173f0eb71f96ab6134de4e052d16acb8c673	DETACHED	git@github.com:IlyaGulya/darling-BerkeleyDB.git	clean
src/external/DSTools	e015256b16965ac032412f2277c608c7213c03b3	DETACHED	git@github.com:IlyaGulya/darling-DSTools.git	clean
src/external/DirectoryService	feb9742f574ab812a210634fd3997f19b645095f	DETACHED	git@github.com:IlyaGulya/darling-DirectoryService.git	clean
src/external/Heimdal	94a5c2feff43fb6661e10721d52a9c350c84bbb0	DETACHED	git@github.com:IlyaGulya/darling-Heimdal.git	clean
src/external/IOKitTools	df58be2f134f7adbdd3c760a165ad3501ee82fb5	DETACHED	git@github.com:IlyaGulya/darling-IOKitTools.git	clean
src/external/IOKitUser	9843fd575a87926ab3cd3ee011215b97e90c1006	DETACHED	git@github.com:IlyaGulya/darling-iokituser.git	clean
src/external/IOKitUser/darling/submodules/IOGraphics	905186151d713259296f3ae9458195a7097ea323	DETACHED	git@github.com:IlyaGulya/darling-IOGraphics.git	clean
src/external/IOKitUser/darling/submodules/IOHIDFamily	189e98e32092d5f5a2c365cc85fd36ac7da2d371	DETACHED	git@github.com:IlyaGulya/darling-IOHIDFamily.git	clean
src/external/IONetworkingFamily	28afb431947b8e8dbbb120db7632ba6de229bf23	DETACHED	git@github.com:IlyaGulya/darling-IONetworkingFamily.git	clean
src/external/IOStorageFamily	33178aef923d9c99f1819db2ada253054f4dd812	DETACHED	git@github.com:IlyaGulya/darling-iostoragefamily.git	clean
src/external/JavaScriptCore	93410cc0dbc7a961d58d048c151117acdb18a566	DETACHED	git@github.com:IlyaGulya/darling-JavaScriptCore.git	clean
src/external/Libinfo	9ef680edcd31158f23efbbf853868b5f5432d047	DETACHED	git@github.com:IlyaGulya/darling-Libinfo.git	clean
src/external/MITKerberosShim	39c014d0c54f9ae922be0d697aa6cc1b19c117b6	DETACHED	git@github.com:IlyaGulya/darling-MITKerberosShim.git	clean
src/external/OpenAL	7c60cf7109b7a3a8f5d41ed8b84d340a8d768525	DETACHED	git@github.com:IlyaGulya/darling-openal.git	clean
src/external/OpenDirectory	750636a898284fb392a10603ac7894658b632678	DETACHED	git@github.com:IlyaGulya/darling-opendirectory.git	clean
src/external/OpenLDAP	3b15390bbcad8234aabb3246b0552105b17118d0	DETACHED	git@github.com:IlyaGulya/darling-openldap.git	clean
src/external/SecurityTokend	c826860db4061667af6f0c3aa55282aab0924e1a	DETACHED	git@github.com:IlyaGulya/darling-SecurityTokend.git	clean
src/external/SmartCardServices	ec53ce56972565047a716ab166176f203f520393	DETACHED	git@github.com:IlyaGulya/darling-SmartCardServices.git	clean
src/external/TextEdit	99ec72a94dab166eefa264e9802ebd0d80aca845	DETACHED	git@github.com:IlyaGulya/darling-TextEdit.git	clean
src/external/WTF	88a36e496a6f285a9e15140c2c431b817bae353b	DETACHED	git@github.com:IlyaGulya/darling-WTF.git	clean
src/external/WebCore	47fac4c8130ea9afc9b9df68c81ade56ca7ea57e	DETACHED	git@github.com:IlyaGulya/darling-WebCore.git	clean
src/external/adv_cmds	56dcf5ebeb822650d7929f666be58544b2391f6e	DETACHED	git@github.com:IlyaGulya/darling-adv_cmds.git	clean
src/external/apr	5aa6eba89e497a67f1b9db7842371141a8616674	DETACHED	git@github.com:IlyaGulya/darling-apr.git	clean
src/external/architecture	63162c4744e9bd07673d4c29f8825f105f670e44	DETACHED	git@github.com:IlyaGulya/darling-architecture	clean
src/external/awk	5d46e527461bce5fa10b89320a1c6ce5f1ae38b6	DETACHED	git@github.com:IlyaGulya/darling-awk.git	clean
src/external/bash	b6f335bb607258172356bb47c489230d479e55b0	DETACHED	git@github.com:IlyaGulya/darling-bash.git	clean
src/external/basic_cmds	b1ed4f0f6a981590542071d8b36535cf3e441be0	DETACHED	git@github.com:IlyaGulya/darling-basic_cmds.git	clean
src/external/bc	666e93c8223f509ae9c3c69e3c20af45d49a749c	DETACHED	git@github.com:IlyaGulya/darling-bc.git	clean
src/external/bind9	7542d50b3087edb4a46a2bdb11ba75034aa2bffa	DETACHED	git@github.com:IlyaGulya/darling-bind9.git	clean
src/external/bmalloc	66c88bc0b977ef843a9eaa706d586d9cec2608da	DETACHED	git@github.com:IlyaGulya/darling-bmalloc.git	clean
src/external/bootstrap_cmds	0f300a7a04bb1174a3b7db58b57d738aadc14e13	DETACHED	git@github.com:IlyaGulya/darling-bootstrap_cmds.git	clean
src/external/bsm	bec0dd61bb07469d1fcb3985822d350abc9934f7	DETACHED	git@github.com:IlyaGulya/darling-bsm.git	clean
src/external/bzip2	dc8c6839093afed1f288715260d32314ad362084	DETACHED	git@github.com:IlyaGulya/darling-bzip2.git	clean
src/external/cctools	8777b6dc7c4de87087c028e17db075795b3684d3	DETACHED	git@github.com:IlyaGulya/darling-cctools.git	clean
src/external/cctools-port	d9456c221e1f462e17c0b3297748bc089d5a861e	DETACHED	git@github.com:IlyaGulya/cctools-port.git	clean
src/external/cfnetwork	e7e3db881008d883f82914765a72ce842bcba735	DETACHED	git@github.com:IlyaGulya/darling-cfnetwork.git	clean
src/external/cocotron	3feab339b091e51365687773d759da7cdc5fb117	DETACHED	git@github.com:IlyaGulya/darling-cocotron.git	clean
src/external/commoncrypto	910de477aac2c7af4cb2cc50e909f9b559502090	DETACHED	git@github.com:IlyaGulya/darling-commoncrypto.git	clean
src/external/compiler-rt	5fd9bc0effa307b99b35da59ce579e8e031c22da	DETACHED	git@github.com:IlyaGulya/darling-compiler-rt.git	clean
src/external/configd	98e52de19c52f7938e581ed20385f38abd7fa197	DETACHED	git@github.com:IlyaGulya/darling-configd.git	clean
src/external/copyfile	ed6094c9a2f8ba19aa55b7b504c3665797078e8f	DETACHED	git@github.com:IlyaGulya/darling-copyfile.git	clean
src/external/corecrypto	6868755769326c13c6cdb2b0689deb5731a932e3	DETACHED	git@github.com:IlyaGulya/darling-corecrypto.git	clean
src/external/corecrypto/tests/ctest	4c49efda86692f5cad36bb32b53be63efcea6664	DETACHED	git@github.com:IlyaGulya/ctest.git	clean
src/external/corefoundation	9eff764d957188d555f98b6f251605512c6b50aa	DETACHED	git@github.com:IlyaGulya/darling-corefoundation.git	clean
src/external/corefoundation/submodules/swift-corelibs-foundation	ea1ea0bb416025a8cc5a282df03c2e8f12788e2d	DETACHED	git@github.com:IlyaGulya/darling-swift-corelibs-foundation.git	clean
src/external/coretls	b61a4f075726e7d5ef4652033f8d7b829c008d06	DETACHED	git@github.com:IlyaGulya/darling-coretls.git	clean
src/external/crontabs	b5bc00d2a75f6c622976e2ebbe244fb2d7d602ea	DETACHED	git@github.com:IlyaGulya/darling-crontabs.git	clean
src/external/csu	93b25cf0930a727b44fa50893bffd71056ad032f	DETACHED	git@github.com:IlyaGulya/darling-Csu.git	clean
src/external/cups	51b7c251ef5ff81adc20284544394de8cc2e1315	DETACHED	git@github.com:IlyaGulya/darling-cups.git	clean
src/external/curl	92f54fd7eceabed2c2382a4acc0f7293dedd92ff	DETACHED	git@github.com:IlyaGulya/darling-curl.git	clean
src/external/darling-dmg	1a6de10c5886c40a414090701b2520bd0417ce29	DETACHED	git@github.com:IlyaGulya/darling-dmg.git	clean
src/external/darlingserver	987542a5300044839a2dc21a16b8ba0688dfabd3	integration/arch	git@github.com:IlyaGulya/darlingserver.git	clean
src/external/dbuskit	890e51fda949e4dd2c46765e39074f790c10ca18	DETACHED	git@github.com:IlyaGulya/darling-dbuskit.git	clean
src/external/doc_cmds	60c6a2b858abe1f27b441f479aad2b0a9d0f9ba2	DETACHED	git@github.com:IlyaGulya/darling-doc_cmds.git	clean
src/external/dtrace	4f52343b36756e32a81eb302242ac6472e9075fa	DETACHED	git@github.com:IlyaGulya/darling-dtrace.git	clean
src/external/dyld	aec6a4af4efaacbda31911aaf32d73495d4a7da1	integration/perf	git@github.com:IlyaGulya/darling-dyld.git	clean
src/external/energytrace	e277fcfd430ddab2d8b52187cf480f2857629104	DETACHED	git@github.com:IlyaGulya/darling-energytrace.git	clean
src/external/expat	70006a0c32d7c8653c11e53fc0c905f1bb498218	DETACHED	git@github.com:IlyaGulya/darling-expat.git	clean
src/external/file	c6ee65265d253d24b1a496f8ca54b5e449fe108c	DETACHED	git@github.com:IlyaGulya/darling-file.git	clean
src/external/file_cmds	c0d72b5c98888a9d8e0b73cf8aac0df908e615f2	DETACHED	git@github.com:IlyaGulya/darling-file_cmds.git	clean
src/external/files	1c45a50ae0d6ca5bbb8b01d2b588f52bc0e39263	DETACHED	git@github.com:IlyaGulya/darling-files.git	clean
src/external/fmdb	ad2fdd660d02c24b262d64d7d23d3d4645768f44	DETACHED	git@github.com:IlyaGulya/fmdb.git	clean
src/external/foundation	416872a2026c226c51a40d7cf9b9f27d18fa0816	DETACHED	git@github.com:IlyaGulya/darling-foundation.git	clean
src/external/glut	b53a2d8f0c6dc0c2052aef410a120d14ee553056	DETACHED	git@github.com:IlyaGulya/darling-glut.git	clean
src/external/gnudiff	ae0ab716658296164a032be7406f082cdc31c954	DETACHED	git@github.com:IlyaGulya/darling-gnudiff.git	clean
src/external/gnutar	1414bc8a8bd2e9dae701831e749febe2e2e84d68	DETACHED	git@github.com:IlyaGulya/darling-gnutar.git	clean
src/external/gpatch	49acc897e8cb832a26b7ac4d2f7db51d3c6ba037	DETACHED	git@github.com:IlyaGulya/darling-gpatch.git	clean
src/external/grep	62d70fada3a01de87aff927a86b8df0f7f2a837a	DETACHED	git@github.com:IlyaGulya/darling-grep.git	clean
src/external/groff	10dd5a6be4915a99065bc15dfc6b6b1e9e1a2714	DETACHED	git@github.com:IlyaGulya/darling-groff.git	clean
src/external/icu	6b609b2b0ce9a620543f357de4e549f09afec4ea	DETACHED	git@github.com:IlyaGulya/darling-icu.git	clean
src/external/installer	88764e6149f92f1747442c27ab00231f40de278c	DETACHED	git@github.com:IlyaGulya/darling-installer.git	clean
src/external/iokitd	5549ac4cd2db923c256f016a1381b3bfb716730a	DETACHED	git@github.com:IlyaGulya/darling-iokitd.git	clean
src/external/keymgr	43b4230aec2e9018b0ffd3069b8b23a34ba257fb	DETACHED	git@github.com:IlyaGulya/darling-keymgr.git	clean
src/external/less	a6bc77c8e72aaa35da92b903172a70eaa4ef78fa	DETACHED	git@github.com:IlyaGulya/darling-less.git	clean
src/external/libarchive	998d739c602a1b35e2377ec9161e9c13d1d8604d	DETACHED	git@github.com:IlyaGulya/darling-libarchive.git	clean
src/external/libauto	2be7312b25736a8e9fc12058d63cbb79eb5f4e25	DETACHED	git@github.com:IlyaGulya/darling-libauto.git	clean
src/external/libc	5a38c8dabf9e76b39407c24bc13134e33e5594e6	DETACHED	git@github.com:IlyaGulya/darling-Libc.git	clean
src/external/libclosure	b4122f19c89512d9e930259a85c5f2674eff2b2b	DETACHED	git@github.com:IlyaGulya/darling-libclosure.git	clean
src/external/libcxx	c47677d3ba33bdabbfb07e75f531831579355a2d	DETACHED	git@github.com:IlyaGulya/darling-libcxx.git	clean
src/external/libcxxabi	c9c851718eb304a9aefa097aeaaf8c3bd1dff1bc	DETACHED	git@github.com:IlyaGulya/darling-libcxxabi.git	clean
src/external/libdispatch	380f03c180b80d940134fb35783ddc714784a53a	DETACHED	git@github.com:IlyaGulya/darling-libdispatch.git	clean
src/external/libedit	f9b44b8541614e33b09451fc2847f7e30bfb9b70	DETACHED	git@github.com:IlyaGulya/darling-libedit.git	clean
src/external/libffi	c796ec121cfd950aa5cc901ea47854a8431948ac	DETACHED	git@github.com:IlyaGulya/darling-libffi.git	clean
src/external/libiconv	0d6f47d33a7cc97e468e864099fff74875b41937	DETACHED	git@github.com:IlyaGulya/darling-libiconv.git	clean
src/external/libkqueue	f673c801cbc4011d3ae35301bb8b5073eb41c103	DETACHED	git@github.com:IlyaGulya/darling-libkqueue.git	clean
src/external/liblzma	855ebc93f8208ae4b6e77a018d4ba4a4be4d2ab7	DETACHED	git@github.com:IlyaGulya/darling-liblzma.git	clean
src/external/libmalloc	a57991e2651226a675654bd96e5d9ab6bec288c5	DETACHED	git@github.com:IlyaGulya/darling-libmalloc.git	clean
src/external/libnetwork	56c5fad43f24a40d8ca7f8a1d0badedfeaf7e64e	DETACHED	git@github.com:IlyaGulya/darling-libnetwork.git	clean
src/external/libnotify	98156d3f847a3ced6c5f52c12a889047bc4f9b20	DETACHED	git@github.com:IlyaGulya/darling-Libnotify.git	clean
src/external/libplatform	71d3d9e661ab85581e4ea5fb66af5e691df6f6b9	fix/bzero-return-register	git@github.com:IlyaGulya/darling-libplatform.git	clean
src/external/libpthread	22aed109147ee29fec3cddf469f2ad1408de27f7	fix/psynch-kernel-return-helper	git@github.com:IlyaGulya/darling-libpthread.git	clean
src/external/libresolv	cf955392e5449efb269b8b3510c755085fd36a2d	DETACHED	git@github.com:IlyaGulya/darling-libresolv.git	clean
src/external/libressl-2.2.9	c5e9edb9d82ccf5fde5d8ae32b162fec8fe11318	DETACHED	git@github.com:IlyaGulya/darling-libressl.git	clean
src/external/libressl-2.5.5	1f663b5bdc9082178717c080e4728fe3e7084de4	DETACHED	git@github.com:IlyaGulya/darling-libressl.git	clean
src/external/libressl-2.6.5	30826df38d7c0f416158a94e0112c928188e0327	DETACHED	git@github.com:IlyaGulya/darling-libressl.git	clean
src/external/libressl-2.8.3	7599e3e01d3b1a742aa0293123290f267b6eb720	fix/libressl-283-nist-strict-aliasing	git@github.com:IlyaGulya/darling-libressl.git	clean
src/external/librpcsvc	0cc1d42e53c61446616719597e96b29aeda51eb3	DETACHED	git@github.com:IlyaGulya/darling-librpcsvc.git	clean
src/external/libstdcxx	73eb757fe23170c372bef17d6de41787c1271c80	DETACHED	git@github.com:IlyaGulya/darling-libstdcxx.git	clean
src/external/libsystem	08df454b6eb0df9400aa4c39839a7efd6efd2c3c	DETACHED	git@github.com:IlyaGulya/darling-Libsystem.git	clean
src/external/libtelnet	1ebd4eef48d06e6411ed2a0f60ba5d3fce5ab455	DETACHED	git@github.com:IlyaGulya/darling-libtelnet.git	clean
src/external/libtrace	8cf07f02b15f7dca6436882a03678fff0392eaf6	DETACHED	git@github.com:IlyaGulya/darling-libtrace.git	clean
src/external/libunwind	d5fbc8180ea2e06efa693ee03a768e532a98671f	integration/arch	git@github.com:IlyaGulya/darling-libunwind.git	clean
src/external/libutil	e3782a467c248c8d181aba1200ee0642abb65baf	DETACHED	git@github.com:IlyaGulya/darling-libutil.git	clean
src/external/libxml2	d4f2967c8ca84a23a886978098c0520fe2963b92	DETACHED	git@github.com:IlyaGulya/darling-libxml2.git	clean
src/external/libxpc	394e033333d3c253a12f08a99090c113b0917d00	DETACHED	git@github.com:IlyaGulya/darling-libxpc.git	clean
